arrival_date,state,variety,district,modal_price
Oct,Karnataka,Local,Belgaum,3592.5
Oct,Madhya Pradesh,Other,Badwani,3218.5
Oct,Madhya Pradesh,Other,Ashoknagar,3555
Oct,Madhya Pradesh,Other,Alirajpur,3401.875
Oct,Madhya Pradesh,Local,Dindori,3246
Oct,Madhya Pradesh,Local,Chhindwara,3357
Oct,Madhya Pradesh,Black,Tikamgarh,3234
Oct,Madhya Pradesh,Black,Shivpuri,3141
Oct,Gujarat,Yellow,Sabarkantha,3225
Oct,Madhya Pradesh,Black,Rajgarh,3456.66666666667
Oct,Karnataka,Soyabeen,Karwar(Uttar Kannad),3650
Oct,Karnataka,Soyabeen,Haveri,3515
Oct,Karnataka,Soyabeen,Gulbarga,3192.33333333333
Oct,Karnataka,Soyabeen,Dharwad,3449.125
Oct,Karnataka,Soyabeen,Bidar,3570.5
Oct,Karnataka,Soyabeen,Belgaum,3672
Oct,Karnataka,Soyabeen,Bangalore,4600
Oct,Madhya Pradesh,Black,Raisen,3325
Oct,Madhya Pradesh,Soyabeen,Sheopur,3378.5
Oct,Maharashtra,Other,Chandrapur,3519.25
Oct,Madhya Pradesh,Yellow,Ashoknagar,3466
Oct,Maharashtra,Yellow,Jalana,3533.77777777778
Oct,Maharashtra,Yellow,Hingoli,3479.58333333333
Oct,Maharashtra,Yellow,Chandrapur,3554.66666666667
Oct,Maharashtra,Yellow,Buldhana,3423.45714285714
Oct,Maharashtra,Yellow,Bhandara,3560
Oct,Maharashtra,Yellow,Beed,3485.33333333333
Oct,Maharashtra,Yellow,Amarawati,3366.1
Oct,Maharashtra,Yellow,Akola,3465.76923076923
Oct,Maharashtra,Other,Vashim,3540.83333333333
Oct,Maharashtra,Other,Sholapur,3543
Oct,Maharashtra,Other,Parbhani,3400
Oct,Maharashtra,Other,Osmanabad,3582.4
Oct,Maharashtra,Other,Nashik,3537.38888888889
Oct,Maharashtra,Other,Nandurbar,3505.25
Oct,Maharashtra,Other,Nanded,3471.66666666667
Oct,Maharashtra,Yellow,Jalgaon,3526
Oct,Maharashtra,Yellow,Latur,3578.04347826087
Oct,Maharashtra,Yellow,Nagpur,3336.86666666667
Oct,Maharashtra,Yellow,Nanded,3370.2
Oct,Uttar Pradesh,Yellow,Lalitpur,3535
Oct,Uttar Pradesh,Soyabeen,Kanpur,4830
Oct,Rajasthan,Yellow,Chittorgarh,3498
Oct,Rajasthan,Other,Swai Madhopur,3315
Oct,Rajasthan,Other,Kota,3544.8
Oct,Rajasthan,Other,Jhalawar,3564.66666666667
Oct,Rajasthan,Other,Chittorgarh,3489.125
Oct,Maharashtra,Other,Nagpur,3595.5
Oct,Rajasthan,Other,Bundi,3541.16666666667
Oct,Maharashtra,Yellow,Yavatmal,3468.55
Oct,Maharashtra,Yellow,Wardha,3463.96428571429
Oct,Maharashtra,Yellow,Vashim,3551.5
Oct,Maharashtra,Yellow,Pune,3531
Oct,Maharashtra,Yellow,Parbhani,3537.42857142857
Oct,Maharashtra,Yellow,Osmanabad,3549.55555555556
Oct,Maharashtra,Yellow,Nashik,3625
Oct,Rajasthan,Other,Baran,3498.8125
Oct,Madhya Pradesh,Soyabeen,Ujjain,355.166666666667
Oct,Maharashtra,Other,Latur,3611.75
Oct,Maharashtra,Other,Hingoli,3478.33333333333
Oct,Madhya Pradesh,Yellow,Khargone,3390
Oct,Madhya Pradesh,Yellow,Khandwa,3518.5
Oct,Madhya Pradesh,Yellow,Jhabua,3457.54545454545
Oct,Madhya Pradesh,Yellow,Indore,3563
Oct,Madhya Pradesh,Yellow,Hoshangabad,3459.33333333333
Oct,Madhya Pradesh,Yellow,Harda,3467.33333333333
Oct,Madhya Pradesh,Yellow,Dhar,3480.45454545455
Oct,Madhya Pradesh,Yellow,Dewas,3410.88888888889
Oct,Madhya Pradesh,Yellow,Damoh,3396.66666666667
Oct,Madhya Pradesh,Yellow,Chhindwara,3051.66666666667
Oct,Madhya Pradesh,Yellow,Chhatarpur,3500
Oct,Madhya Pradesh,Yellow,Burhanpur,3485.33333333333
