Date,Modal Price (Rs./Quintal)
02 Feb 2019,1901
24 Jan 2019,1780
23 Jan 2019,1670
21 Jan 2019,1765
19 Jan 2019,1710
18 Jan 2019,1710
17 Jan 2019,1670
16 Jan 2019,1758
15 Jan 2019,1715
10 Jan 2019,1700
07 Jan 2019,1495
04 Jan 2019,1520
03 Jan 2019,1545
02 Jan 2019,1505
29 Dec 2018,1625
28 Dec 2018,1530
27 Dec 2018,1660
24 Dec 2018,1715
20 Dec 2018,1675
19 Dec 2018,1655
18 Dec 2018,1630
17 Dec 2018,1635
15 Dec 2018,1590
14 Dec 2018,1590
13 Dec 2018,1225
12 Dec 2018,1525
11 Dec 2018,1450
10 Dec 2018,1490
06 Dec 2018,1480
05 Dec 2018,1460
01 Dec 2018,1430
30 Nov 2018,2115
26 Nov 2018,1455
23 Nov 2018,1430
22 Nov 2018,1415
20 Nov 2018,1235
19 Nov 2018,1230
17 Nov 2018,1255
16 Nov 2018,1245
15 Nov 2018,1290
13 Nov 2018,1265
12 Nov 2018,1235
05 Nov 2018,1190
01 Nov 2018,1115
31 Oct 2018,1200
30 Oct 2018,1140
29 Oct 2018,1100
26 Oct 2018,1190
25 Oct 2018,1195
23 Oct 2018,1185
22 Oct 2018,1280
20 Oct 2018,1095
17 Oct 2018,1170
16 Oct 2018,1190
15 Oct 2018,1150
11 Oct 2018,1200
10 Oct 2018,1210
09 Oct 2018,1070
06 Oct 2018,1085
05 Oct 2018,1385
03 Oct 2018,1200
26 Sep 2018,1240
25 Sep 2018,1424
21 Sep 2018,1155
20 Sep 2018,1225
18 Sep 2018,1235
15 Sep 2018,1281
01 Sep 2018,1266
24 Aug 2018,1450
23 Aug 2018,1550
18 Aug 2018,1326
10 Aug 2018,1350
09 Aug 2018,1345
07 Aug 2018,1380
06 Aug 2018,1351
03 Aug 2018,1241
02 Aug 2018,1285
01 Aug 2018,1226
31 Jul 2018,1325
21 Jul 2018,1261
19 Jul 2018,1195
16 Jul 2018,1150
12 Jul 2018,1305
11 Jul 2018,1230
10 Jul 2018,1120
09 Jul 2018,1170
07 Jul 2018,1201
06 Jul 2018,1360
05 Jul 2018,1351
04 Jul 2018,1300
03 Jul 2018,1211
02 Jul 2018,1190
29 Jun 2018,1181
27 Jun 2018,1245
25 Jun 2018,1100
19 Jun 2018,1205
12 Jun 2018,1235
07 Jun 2018,1260
04 Jun 2018,880
30 May 2018,975
29 May 2018,1240
28 May 2018,1170
25 May 2018,1151
23 May 2018,1095
21 May 2018,1120
18 May 2018,1130
16 May 2018,1130
11 May 2018,1170
10 May 2018,1185
09 May 2018,1140
05 May 2018,1183
04 May 2018,1274
27 Apr 2018,1020
