,Date,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
11516,27 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2731.0,2919.0,2825.0
11530,27 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2700.0,2849.0,2789.0
11718,28 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2680.0,3000.0,2825.0
11724,28 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,500.0,2955.0,2950.0
11750,28 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2681.0,2961.0,2820.0
11769,28 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2650.0,2860.0,2775.0
11944,1 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2800.0,3000.0,2850.0
11952,1 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1600.0,3005.0,3005.0
11980,1 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2684.0,2961.0,2825.0
12004,1 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2825.0,2878.0,2841.0
12187,2 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2820.0,3000.0,2900.0
12193,2 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1375.0,3020.0,2870.0
12220,2 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2731.0,2929.0,2830.0
12242,2 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2642.0,2872.0,2808.0
12448,3 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2750.0,2950.0,2800.0
12455,3 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2000.0,2910.0,2800.0
12482,3 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2730.0,2940.0,2835.0
12503,3 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2600.0,2851.0,2775.0
12714,4 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2800.0,2840.0,2830.0
12721,4 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2000.0,2950.0,2870.0
12751,4 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2731.0,2887.0,2810.0
12773,4 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2731.0,2900.0,2773.0
12897,5 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2850.0,2850.0,2850.0
12998,6 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2745.0,2745.0,2745.0
13004,6 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2500.0,2915.0,2790.0
13029,6 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2770.0,2886.0,2825.0
13048,6 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2750.0,2841.0,2810.0
